id;nom_reclamant;prenom_reclamant;niveau_etude;objet_reclamation;motif_reclamation;justificatif;etat_reclamation;filiere_id;matiere_id
1;sitôt que de sorte que;d'abord;lorsque oups après;ouah;si membre de l’équipe;réduire;vu que deçà;1;1
2;porte-parole paf déchiffrer;travailler efficace foule;amorphe géométrique population du Québec;dérouler insipide badaboum;touriste;concurrence;prouver;2;2
3;juger;substituer;aimable gestionnaire accentuer;personnel professionnel de manière à ce que;coac coac;tranquille gestionnaire incalculable;triathlète;3;3
4;coin-coin peut-être;trop absolument sympathique;du moment que zzzz responsable;outre;coac coac ouah après;même;étant donné que propre crac;4;4
5;infime chez badaboum;si assurément;pourvu que étant donné que de façon que;animer;hormis gens;éclairer aux alentours de loin;vu que dring corps enseignant;5;5
6;d’autant que smack de par;proche de;lors de sincère;clac;splendide comment sympathique;ennuyer pacifique direction;lentement tchou tchouu charitable;6;6
7;au-dedans de;lectorat;si bien que chef augmenter;en bas de instituer;sur;membre de l’équipe;hausser assez nourrir;7;7
8;pourvu que toc-toc de sorte que;sans au prix de amorphe;a perplexe;snob sitôt que insipide;lorsque clac tsoin-tsoin;considérable même si entre;peut-être athlète;8;8
9;même si tellement;insolite emplir;tantôt au-dessous de;pendant que avant-hier aspirer;au-dessous de miaou rectangulaire;ouin;tant que maigre derrière;9;9
10;à même croître trop;d'entre;clac indiquer;exprès;dissimuler quasi;rapide divinement quand;effondrer;10;10
